category,ym,n,platform_n,share,month,seasonal_index,adj,roll_mean,roll_std,denom,z,shift,bad_rate
papelaria,2017-03,56,2641,0.021204089360090876,3,0.9744974569158298,0.021758999173994084,0.010222876935156628,0.005746152848966003,0.005746152848966003,2.007625369887843,SURGE,0.017857142857142856
papelaria,2017-04,36,2391,0.015056461731493099,4,0.7988498708412307,0.0188476737382931,0.014068251014769113,0.00780191269614745,0.00780191269614745,0.6125962837143825,,0.1111111111111111
papelaria,2017-05,62,3660,0.016939890710382512,5,0.8210079043222964,0.020633042168291423,0.015263106695650109,0.006803720663828399,0.006803720663828399,0.7892645418543234,,0.11290322580645161
papelaria,2017-06,37,3217,0.011501398818775257,6,0.8242148962168201,0.013954369026290528,0.018881433915243374,0.003289755652434088,0.003289755652434088,-1.4976993459399677,,0.08108108108108109
papelaria,2017-07,73,3969,0.01839254220206601,7,1.0637553216548512,0.01729019994320997,0.018798521026717283,0.0034447120475534563,0.0034447120475534563,-0.4378656510864441,,0.1643835616438356
papelaria,2017-08,75,4293,0.017470300489168415,8,0.9952066414177012,0.017554445239916665,0.017681321219021256,0.002835265023524538,0.002835265023524538,-0.044749248501246154,,0.06666666666666667
papelaria,2017-09,71,4243,0.016733443318406788,9,0.7908678520108419,0.02115833040356961,0.017358014094427145,0.002729700385785561,0.002729700385785561,1.3922100494735434,,0.15492957746478872
papelaria,2017-10,91,4568,0.019921190893169877,10,0.9415294360753995,0.02115833040356961,0.017489336153246694,0.002943999876634857,0.002943999876634857,1.2462616861644593,,0.18681318681318682
papelaria,2017-11,152,7451,0.02039994631593075,11,0.9641567140141211,0.02115833040356961,0.019290326497566464,0.002159681084465013,0.002159681084465013,0.8649443287900451,,0.11842105263157894
papelaria,2017-12,230,5624,0.040896159317211946,12,1.9328632523061637,0.02115833040356961,0.020257359112656373,0.0018019425818264823,0.0018019425818264823,0.49999999999999845,,0.14782608695652175
papelaria,2018-01,376,7220,0.0520775623268698,1,1.4403204559365905,0.03615692751722086,0.02115833040356961,0.0,0.0006347499121070883,23.629144057480147,SURGE,0.11702127659574468
papelaria,2018-02,144,6694,0.02151180161338512,2,0.7674388254914164,0.028030640226744334,0.024907979681982426,0.00749929855682563,0.00749929855682563,0.4163936828358113,,0.24305555555555555
papelaria,2018-03,144,7188,0.02003338898163606,3,0.9744974569158298,0.02055766163314514,0.026626057137776105,0.007132143556311477,0.007132143556311477,-0.8508515647109817,,0.20833333333333334
papelaria,2018-04,130,6934,0.018748197288722238,4,0.7988498708412307,0.023468987068846123,0.026475889945169986,0.007290212679596165,0.007290212679596165,-0.4124574972606187,,0.12307692307692308
papelaria,2018-05,122,6853,0.01780242229680432,5,0.8210079043222964,0.021683618638847803,0.027053554111489114,0.006803720663828406,0.006803720663828406,-0.789264541854322,,0.09836065573770492
papelaria,2018-06,144,6160,0.023376623376623377,6,0.8242148962168201,0.028362291780848696,0.02343522689189585,0.003289755652434101,0.003289755652434101,1.4976993459399623,,0.0763888888888889
papelaria,2018-07,167,6273,0.026622030926191614,7,1.0637553216548512,0.02502646086392926,0.023518139780421943,0.0034447120475534694,0.0034447120475534694,0.43786565108644343,,0.0718562874251497
papelaria,2018-08,159,6452,0.02464352138871668,8,0.9952066414177012,0.024762215567222558,0.02463533958811797,0.0028352650235245525,0.0028352650235245525,0.0447492485012447,,0.0440251572327044
pc_gamer,2017-04,2,2391,0.000836470096194061,4,1.0,0.000836470096194061,,0.0,,,,0.5
pc_gamer,2017-05,1,3660,0.000273224043715847,5,1.0,0.000273224043715847,,0.0,,,,0.0
pc_gamer,2017-06,1,3217,0.00031084861672365556,6,1.0,0.00031084861672365556,0.000554847069954954,0.0003982751031838991,0.0003982751031838991,-0.6126379763151674,,0.0
pc_gamer,2018-07,2,6273,0.0003188267176789415,7,1.0,0.0003188267176789415,0.0004735142522111879,0.0003148914267402255,0.0003148914267402255,-0.49124085763013886,,0.5
pc_gamer,2018-08,1,6452,0.00015499070055796651,8,1.0,0.00015499070055796651,0.00043484236857812625,0.00026848922776264117,0.00026848922776264117,-1.042319911127174,,0.0
pcs,2017-01,1,789,0.0012674271229404308,1,1.0,0.0012674271229404308,,0.0,,,,0.0
pcs,2017-02,1,1733,0.0005770340450086555,2,1.0,0.0005770340450086555,,0.0,,,,0.0
pcs,2017-08,29,4293,0.006755182855811786,8,1.0,0.006755182855811786,0.0009222305839745432,0.000488181627089811,0.000488181627089811,11.948324042035592,SURGE,0.13793103448275862
pcs,2017-09,40,4243,0.009427292010370021,9,1.0,0.009427292010370021,0.0028665480079202907,0.0033853022591330173,0.0033853022591330173,1.938008337290966,,0.1
pcs,2017-10,26,4568,0.005691768826619965,10,1.0,0.005691768826619965,0.004506734008532723,0.004289641172663991,0.004289641172663991,0.2762549990518906,,0.11538461538461539
pcs,2017-11,7,7451,0.0009394712119178633,11,1.0,0.0009394712119178633,0.005612819434452607,0.0037067758997969403,0.0037067758997969403,-1.2607582300270035,,0.0
